id,name,organization,category,eligibility,deadline,amount,link,description
1,Google Women Techmakers Scholarship,Google,Scholarship,Women in CS/Engineering undergraduate or graduate programs,March 2025,$10000,https://buildyourfuture.withgoogle.com/scholarships,Awarded to women excelling in computing and technology. Supports undergraduate and graduate students.
2,Society of Women Engineers Scholarship,SWE,Scholarship,Women pursuing ABET-accredited programs,February 2025,$5000,https://swe.org/scholarships,Multiple scholarships for women in engineering ranging from $1000-$15000.
3,NASA Internship Program,NASA,Internship,STEM students (US citizens),Rolling,Paid,https://intern.nasa.gov,Hands-on experience in aerospace engineering and space exploration projects.
4,Microsoft Explore Program,Microsoft,Internship,First/second year students in CS,October 2025,Paid,https://careers.microsoft.com,12-week summer internship for early career students exploring tech roles.
5,AnitaB.org Grace Hopper Celebration Scholarship,AnitaB.org,Scholarship,Women in computing,June 2025,$2500,https://ghc.anitab.org/scholarships,Covers conference attendance and networking opportunities with tech leaders.
6,Palantir Women in Technology Scholarship,Palantir,Scholarship,Women studying CS/Engineering,January 2025,$7000,https://www.palantir.com/careers/students/scholarship/wit-north-america,For undergraduate women passionate about technology and problem-solving.
7,Adobe Women in Technology Scholarship,Adobe,Scholarship,Undergraduate women in CS/Design,April 2025,$10000,https://research.adobe.com/scholarship,Supports women pursuing careers in computer science and design.
8,Break Through Tech AI Program,Cornell Tech,Program,Women and non-binary students in NYC colleges,December 2024,Free,https://breakthroughtech.org,Machine learning curriculum with industry project experience and mentorship.
9,Girls Who Code Summer Immersion Program,Girls Who Code,Program,High school girls,March 2025,Free,https://girlswhocode.com/programs/summer-immersion-program,7-week program teaching coding and leadership skills.
10,Rewriting the Code Fellowship,Rewriting the Code,Fellowship,Undergraduate women in tech,November 2024,Free + perks,https://rewritingthecode.org,Community of 15000+ women with exclusive job opportunities and mentorship.
11,CodePath Tech Fellow Program,CodePath,Program,College students interested in tech,January 2025,Free,https://www.codepath.org,Free coding courses and career support for underrepresented students.
12,MLH Fellowship,Major League Hacking,Fellowship,Students interested in open source,Rolling,Stipend provided,https://fellowship.mlh.io,12-week remote program contributing to open source projects.
13,NCWIT Award for Aspirations in Computing,NCWIT,Award,High school women in computing,November 2024,$500-$10000,https://www.aspirations.org/awardprogram,Recognition program honoring young women for computing achievements.
14,Upkey Women in Tech Scholarship,Upkey,Scholarship,Women pursuing tech careers,June 2025,$5000,https://upkey.com/scholarships,Financial support and career coaching for women entering tech industry.
15,Generation Google Scholarship,Google,Scholarship,Women and underrepresented groups in CS,December 2024,$10000,https://buildyourfuture.withgoogle.com/scholarships,Recognizes students passionate about computer science and leadership.
